Species,abbrev,lm_id,charmm36,concentration
CL 64:3,NA,['NA'],['NA'],0.0
CL 64:4,"CL(1'-[16:1(9Z)/16:1(9Z)],3'-[16:1(9Z)/16:1(9Z)])",['NA'],"['TYCL1', 'TYCL2']",0.0
CL 66:2,CL 66:2,"['LMGP12010655', 'LMGP12010010', 'LMGP12010025', 'LMGP12010115']",['NA'],0.0
CL 66:3,NA,['NA'],['NA'],0.0
CL 66:4,NA,['NA'],['NA'],0.0
CL 66:5,NA,['NA'],['NA'],0.0
CL 68:2,CL 68:2,"['LMGP12010006', 'LMGP12010081']","['POCL1', 'PVCL2', 'POCL2']",0.0
CL 68:3,CL 68:3,"['LMGP12010097', 'LMGP12010127', 'LMGP12010117', 'LMGP12010442', 'LMGP12010022', 'LMGP12010657', 'LMGP12010027', 'LMGP12010667', 'LMGP12010727', 'LMGP12010082', 'LMGP12010547', 'LMGP12010457']",['NA'],0.0
CL 68:4,CL 68:4,"['LMGP12010658', 'LMGP12010118', 'LMGP12010028', 'LMGP12011087', 'LMGP12010133', 'LMGP12010187', 'LMGP12010673', 'LMGP12010037', 'LMGP12010012', 'LMGP12010763']",['NA'],0.0
CL 68:5,NA,['NA'],['NA'],0.0
CL 70:3,CL 70:3,"['LMGP12010448', 'LMGP12010063', 'LMGP12010238', 'LMGP12010553', 'LMGP12010313', 'LMGP12010513', 'LMGP12010098', 'LMGP12010728', 'LMGP12010128', 'LMGP12010298', 'LMGP12010733', 'LMGP12010493', 'LMGP12010668', 'LMGP12010523', 'LMGP12010123', 'LMGP12010343', 'LMGP12010478', 'LMGP12010458', 'LMGP12010058', 'LMGP12010243', 'LMGP12010663', 'LMGP12010703', 'LMGP12010693', 'LMGP12010088', 'LMGP12010453', 'LMGP12010093', 'LMGP12010333', 'LMGP12010548']",['NA'],0.0
