Species,abbrev,lm_id,martini3,concentration
Cer 44:3;2,NA,['NA'],['NA'],0.0012902120182801
Chol,ST 27:1;O,"['LMST01010001', 'LMST01010097', 'LMST01010290', 'LMST01010333', 'LMST01010096', 'LMST04030120', 'LMST01010089', 'LMST01010352', 'LMST01010081', 'LMST01010316', 'LMST04030119', 'LMST01010174', 'LMST01010205', 'LMST01010099']",['NA'],8.4052853188569
GM2 34:1;2,Hex(2)-HexNAc-NeuAc-Cer 34:1;O2,"['LMSP0601EK01', 'LMSP0601AM01']",['NA'],0.0
GM3 34:0;2,NA,['NA'],['NA'],0.0336590200864919
GM3 34:1;2,NeuAcHex2Cer 34:1;O2,['LMSP0601AJ01'],['NA'],0.0918088782413783
GM3 42:2;2,NeuAcHex2Cer 42:2;O2,['LMSP0601AJ07'],['NA'],0.0
HexCer 32:0;2,HexCer 32:0;O2,['LMSP0501AA28'],['NA'],0.0049187184062004
HexCer 34:0;2,HexCer 34:0;O2,"['LMSP0501AA04', 'LMSP0501AC11']",['NA'],0.0050313783174454
HexCer 34:1;2,HexCer 34:1;O2,"['LMSP0501AA03', 'LMSP0501AC01', 'LMSP0501AA42', 'LMSP0501AA49']",['NA'],0.0287249679361521
HexCer 34:3;2,HexCer 34:3;O3,"['LMSP05010096', 'LMSP05010095']",['NA'],0.0
HexCer 36:0;2,HexCer 36:0;O2,['LMSP0501AA19'],['NA'],0.0
HexCer 36:1;2,HexCer 36:1;O2,"['LMSP0501AA29', 'LMSP0501AA50', 'LMSP0501AA43', 'LMSP0501AA05', 'LMSP0501AC02']",['NA'],0.0
HexCer 40:1;2,HexCer 40:1;O2,"['LMSP0501AC04', 'LMSP0501AA07', 'LMSP0501AA51']",['NA'],0.0013672918669552
HexCer 42:1;2,HexCer 42:1;O2,"['LMSP05010127', 'LMSP0501AA22', 'LMSP0501AA09', 'LMSP0501AC05']",['NA'],0.0065212293183819
HexCer 42:2;2,HexCer 42:2;O2,"['LMSP0501AA08', 'LMSP0501AC07']",['NA'],0.0023017543077479
LPA 16:0,LPA 16:0,"['LMGP10050042', 'LMGP10050041', 'LMGP10050006']",['NA'],0.0286345922548958
LPA 18:0,LPA 18:0,"['LMGP10050005', 'LMGP10050043']",['NA'],0.0208632625801141
LPA 18:2,LPA 18:2,"['LMGP10050017', 'LMGP10050044']",['NA'],0.0
LPC 14:0,LPC 14:0,"['LMGP01050012', 'LMGP01050073']",['NA'],0.0387580758456542
LPC 16:0,LPC 16:0,"['LMGP01050074', 'LMGP01050113', 'LMGP01050018']",['NA'],0.104807416031315
LPC 16:1,LPC 16:1,"['LMGP01050022', 'LMGP01050021']",['NA'],0.14699321088177
LPC 18:0,LPC 18:0,"['LMGP01050076', 'LMGP01050026']",['NA'],0.0
LPC 18:1,LPC 18:1,"['LMGP01050032', 'LMGP01050030', 'LMGP01050114', 'LMGP01050079', 'LMGP01050029', 'LMGP01050082', 'LMGP01050138', 'LMGP01050080']",['NA'],0.177990389363272
LPC 18:2,LPC 18:2,"['LMGP01050035', 'LMGP01050034']",['NA'],0.0119588324525795
LPC 20:1,LPC 20:1,"['LMGP01050146', 'LMGP01050047', 'LMGP01050131']",['NA'],0.0
LPC 20:3,LPC 20:3,"['LMGP01050139', 'LMGP01050133']",['NA'],0.0
LPCO- 16:0,LPC O-16:0,['LMGP01060010'],['NA'],2.76407582684988e-05
LPCO- 16:1,LPC O-16:1,"['LMGP01060029', 'LMGP01060047', 'LMGP01060028', 'LMGP01060048', 'LMGP01060031', 'LMGP01070006']",['NA'],0.0008954302334203
LPCO- 18:1,LPC O-18:1,"['LMGP01060046', 'LMGP01060039', 'LMGP01060045', 'LMGP01070009', 'LMGP01060034']",['NA'],0.0002483329333489
LPCO- 18:2,LPC O-18:2,['LMGP01070012'],['NA'],0.002576675729705
LPCO- 18:3,NA,['NA'],['NA'],0.0
LPCO- 20:0,LPC O-20:0,['LMGP01060041'],['NA'],0.0
LPCO- 20:2,NA,['NA'],['NA'],0.0
LPCO- 20:3,NA,['NA'],['NA'],0.0003145315632124
LPCO- 22:2,NA,['NA'],['NA'],0.0
LPCO- 22:4,NA,['NA'],['NA'],0.0004812590731904
LPCO- 22:5,NA,['NA'],['NA'],0.0
LPCO- 22:6,NA,['NA'],['NA'],0.0
LPE 16:0,LPE 16:0,"['LMGP02050002', 'LMGP02050036']",['NA'],0.0152066224717274
LPE 16:1,LPE 16:1,"['LMGP02050037', 'LMGP02050010']",['NA'],0.0656336079376319
LPE 18:0,LPE 18:0,"['LMGP02050038', 'LMGP02050001']",['NA'],0.0047546159091217
LPE 18:1,LPE 18:1,"['LMGP02050039', 'LMGP02050064', 'LMGP02050004', 'LMGP02050040']",['NA'],0.103655870169535
LPE 18:2,LPE 18:2,"['LMGP02050011', 'LMGP02050041']",['NA'],0.0043326104339049
LPE 20:0,LPE 20:0,"['LMGP02050012', 'LMGP02050045']",['NA'],0.0
LPE 20:1,LPE 20:1,"['LMGP02050046', 'LMGP02050020']",['NA'],0.0064011230267649
LPE 20:3,LPE 20:3,"['LMGP02050050', 'LMGP02050065', 'LMGP02050049', 'LMGP02050066', 'LMGP02050022', 'LMGP02050048']",['NA'],0.010761832321402
